nivel;cargo;cbo;descricao
 B  ; CARPINTEIRO  ; – 7155-05  ; Efetuar  trabalhos  de  carpintaria,  cortando,  armando,  instalando  e  reparando  peças  de  madeira, utilizando ferramentas manuais e mecânicas.  
 B  ; COMPOSITOR GRÁFICO  ; -  ; Compor textos, utilizando equipamentos e técnicas apropriadas para impressão gráfica em  geral. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; CONSERVADOR DE PESCADO  ; - 6314-05 e 6314-10  ; Preparar  equipamentos  de  pesca,  conservar  pescado  e  controlar  urnas  e  câmaras  de  resfriamento.  Confeccionar  material  de  pesca.  Auxiliar  tripulação  em  serviços  gerais  e  carregar e descarregar embarcação. Realizar serviços de manutenção de embarcações de  pesca em estaleiros. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; CONTRA-MESTRE FLUVIAL/MARÍTIMO  ; – 7827-05  ;" Comandar e imediatar pequenas embarcações, auxiliando o comandante na administração  de bordo e no serviço de manobras; transportar cargas e passageiros; realizar manobras,  serviços  e  manutenção  no  convés;  operar  máquinas;  realizar  manutenção  preventiva  e  corretiva da praça de máquinas e aplicar procedimentos de segurança. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
 B  ; COPEIRO  ;;
 B  ; COSTUREIRO  ; – 7632-10  ; Executar, a mão ou a máquina, um ou vários trabalhos de costura na produção em série de  peças  de  vestuário,  utilizando  máquinas  e  outros  instrumentos  apropriados,  para  confeccionar ternos, terninhos, calças, camisas e outras peças de roupas similares.  
 B  ; DESENHISTA COPISTA  ; - 3180-10  ;" Analisar  solicitações  de  desenhos;  interpretar  documentos  de  apoio,  tais  como  plantas,  projetos, catálogos, croquis e normas. Desenhar detalhes de projetos de desenhos. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
 B  ; ELETRICISTA DE EMBARCAÇÃO  ; – 9531-10  ; Montar, reparar componentes elétricos e equipamentos de embarcações, orientando-se por  plantas, esquemas e especificações para possibilitar a utilização dos instrumentos essenciais  às operações de navegação. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; ESTOFADOR  ; - 7652-35  ; Colocar e reparar estofamentos de móveis e veículos, utilizando materiais e equipamentos  apropriados.  
 B  ; GARÇON  ; - 5134-05  ; Servir alimentos e bebidas em restaurantes e outros estabelecimentos, anotando pedidos.  
 B  ; JARDINEIRO  ; - 6220-10  ; Executar sob supervisão imediata, serviços de ajardinamento, conservação e limpeza.  
 B  ; LANCHEIRO  ; - 5132-10  ; Preparar refeições ligeiras em lanchonetes, empregando chapas elétricas, liquidificadores,  centrifugadores  e  outros  aparelhos,  para  atender  comensais.  Auxiliar  nas  atividades  de  ensino, pesquisa e extensão.  
